,Code_AL,ID_AL,Code_SA,ID_SA,Code_DA,ID_DA,Codeshare,Stops,Code_PT
0,AL242,AL242,AER,2965,KZN,2990,,0,CR2
1,AL242,AL242,ASF,2966,KZN,2990,,0,CR2
2,AL242,AL242,ASF,2966,MRV,2962,,0,CR2
3,AL242,AL242,CEK,2968,KZN,2990,,0,CR2
4,AL242,AL242,CEK,2968,OVB,4078,,0,CR2
5,AL242,AL242,DME,4029,KZN,2990,,0,CR2
6,AL242,AL242,DME,4029,NBC,6969,,0,CR2
8,AL242,AL242,DME,4029,UUA,6160,,0,CR2
9,AL242,AL242,EGO,6156,KGD,2952,,0,CR2
10,AL242,AL242,EGO,6156,KZN,2990,,0,CR2
11,AL242,AL242,GYD,2922,NBC,6969,,0,CR2
12,AL242,AL242,KGD,2952,EGO,6156,,0,CR2
13,AL242,AL242,KZN,2990,AER,2965,,0,CR2
14,AL242,AL242,KZN,2990,ASF,2966,,0,CR2
15,AL242,AL242,KZN,2990,CEK,2968,,0,CR2
16,AL242,AL242,KZN,2990,DME,4029,,0,CR2
17,AL242,AL242,KZN,2990,EGO,6156,,0,CR2
18,AL242,AL242,KZN,2990,LED,2948,,0,CR2
19,AL242,AL242,KZN,2990,SVX,2975,,0,CR2
20,AL242,AL242,LED,2948,KZN,2990,,0,CR2
21,AL242,AL242,LED,2948,NBC,6969,,0,CR2
22,AL242,AL242,LED,2948,UUA,6160,,0,CR2
23,AL242,AL242,MRV,2962,ASF,2966,,0,CR2
24,AL242,AL242,NBC,6969,DME,4029,,0,CR2
25,AL242,AL242,NBC,6969,GYD,2922,,0,CR2
26,AL242,AL242,NBC,6969,LED,2948,,0,CR2
27,AL242,AL242,NBC,6969,SVX,2975,,0,CR2
28,AL242,AL242,NJC,2972,SVX,2975,,0,CR2
29,AL242,AL242,NJC,2972,UUA,6160,,0,CR2
30,AL242,AL242,NUX,4364,SVX,2975,,0,CR2
31,AL242,AL242,OVB,4078,CEK,2968,,0,CR2
32,AL242,AL242,OVB,4078,SVX,2975,,0,CR2
33,AL242,AL242,SVX,2975,KZN,2990,,0,CR2
34,AL242,AL242,SVX,2975,NBC,6969,,0,CR2
35,AL242,AL242,SVX,2975,NJC,2972,,0,CR2
36,AL242,AL242,SVX,2975,NUX,4364,,0,CR2
37,AL242,AL242,SVX,2975,OVB,4078,,0,CR2
39,AL242,AL242,UUA,6160,DME,4029,,0,CR2
40,AL242,AL242,UUA,6160,LED,2948,,0,CR2
41,AL242,AL242,UUA,6160,NJC,2972,,0,CR2
42,AL361,AL361,BTK,2936,IKT,2937,,0,A81
43,AL361,AL361,BTK,2936,OVB,4078,,0,A81
44,AL361,AL361,CEK,2968,OVB,4078,,0,A81
45,AL361,AL361,HTA,2935,IKT,2937,,0,AN4
46,AL361,AL361,IKT,2937,BTK,2936,,0,A81
47,AL361,AL361,IKT,2937,HTA,2935,,0,AN4
49,AL361,AL361,IKT,2937,ODO,8944,,0,AN4
50,AL361,AL361,IKT,2937,OVB,4078,,0,A81
51,AL361,AL361,IKT,2937,UKX,6924,,0,AN4
52,AL361,AL361,IKT,2937,ULK,9026,,0,AN4
53,AL361,AL361,IKT,2937,YKS,2923,,0,A81
55,AL361,AL361,MJZ,2925,OVB,4078,,0,A81
56,AL361,AL361,ODO,8944,IKT,2937,,0,AN4
57,AL361,AL361,OVB,4078,BTK,2936,,0,A81
58,AL361,AL361,OVB,4078,CEK,2968,,0,A81
59,AL361,AL361,OVB,4078,IKT,2937,,0,A81
60,AL361,AL361,UKX,6924,IKT,2937,,0,AN4
61,AL361,AL361,ULK,9026,IKT,2937,,0,AN4
62,AL361,AL361,YKS,2923,IKT,2937,,0,A81
63,AL384,AL384,AYP,2786,LIM,2789,,0,142
64,AL384,AL384,CUZ,2812,LIM,2789,,0,142 141
65,AL384,AL384,CUZ,2812,PEM,2808,,0,142
66,AL384,AL384,HUU,6067,LIM,2789,,0,141
67,AL384,AL384,IQT,2801,PCL,2781,,0,143
68,AL384,AL384,IQT,2801,TPP,2806,,0,142
69,AL384,AL384,LIM,2789,AYP,2786,,0,142
70,AL384,AL384,LIM,2789,CUZ,2812,,0,142 141
71,AL384,AL384,LIM,2789,HUU,6067,,0,141
72,AL384,AL384,LIM,2789,PCL,2781,,0,143 146
73,AL384,AL384,LIM,2789,TPP,2806,,0,142 146
74,AL384,AL384,PCL,2781,IQT,2801,,0,143
75,AL384,AL384,PCL,2781,LIM,2789,,0,143 146
76,AL384,AL384,PCL,2781,TPP,2806,,0,146
77,AL384,AL384,PEM,2808,CUZ,2812,,0,142
78,AL384,AL384,TPP,2806,IQT,2801,,0,142
79,AL384,AL384,TPP,2806,LIM,2789,,0,142 146
80,AL384,AL384,TPP,2806,PCL,2781,,0,146
81,AL357,AL357,ABJ,253,BOY,247,,0,CRJ
82,AL357,AL357,ABJ,253,OUA,246,,0,E70 CRJ M87
83,AL357,AL357,ACC,248,OUA,246,,0,CRJ
84,AL357,AL357,BKO,1044,ABJ,253,,0,M87
85,AL357,AL357,BKO,1044,DKR,1084,,0,M87
86,AL357,AL357,BKO,1044,OUA,246,,0,CRJ
87,AL357,AL357,BOY,247,ABJ,253,,0,CRJ
88,AL357,AL357,BOY,247,OUA,246,,0,CRJ
89,AL357,AL357,COO,245,LFW,298,,0,M87
90,AL357,AL357,COO,245,OUA,246,,0,M87
91,AL357,AL357,DKR,1084,BKO,1044,,0,M87
92,AL357,AL357,DKR,1084,OUA,246,,0,M87
93,AL357,AL357,LFW,298,OUA,246,,0,M87 CRJ
94,AL357,AL357,NIM,280,OUA,246,,0,CRJ
95,AL357,AL357,OUA,246,ABJ,253,,0,E70 CRJ M87
96,AL357,AL357,OUA,246,ACC,248,,0,CRJ
97,AL357,AL357,OUA,246,BKO,1044,,0,M87 CRJ
98,AL357,AL357,OUA,246,BOY,247,,0,CRJ
99,AL357,AL357,OUA,246,COO,245,,0,M87
100,AL357,AL357,OUA,246,DKR,1084,,0,M87
101,AL357,AL357,OUA,246,LFW,298,,0,CRJ
102,AL357,AL357,OUA,246,NIM,280,,0,CRJ
103,AL440,AL440,BOG,2709,GYE,2673,,0,319
104,AL440,AL440,BOG,2709,UIO,2688,,0,319 320
105,AL440,AL440,CLO,2715,GYE,2673,,0,319
106,AL440,AL440,GYE,2673,BOG,2709,,0,319
107,AL440,AL440,GYE,2673,CLO,2715,,0,319
108,AL440,AL440,GYE,2673,SCY,6045,,0,319 320
109,AL440,AL440,GYE,2673,UIO,2688,,0,320 319
110,AL440,AL440,OCC,2670,UIO,2688,,0,319
111,AL440,AL440,SCY,6045,GYE,2673,,0,319 320
112,AL440,AL440,UIO,2688,BOG,2709,,0,319 320
113,AL440,AL440,UIO,2688,GYE,2673,,0,319
114,AL440,AL440,UIO,2688,OCC,2670,,0,319
115,AL417,AL417,BDS,1506,ZRH,1678,,0,100
116,AL417,AL417,BOD,1264,ZRH,1678,,0,100
117,AL417,AL417,BRS,490,ZRH,1678,,0,100
118,AL417,AL417,GVA,1665,LPA,1054,,0,319
119,AL417,AL417,LCA,1197,ZRH,1678,,0,319
120,AL417,AL417,LPA,1054,ZRH,1678,,0,319
121,AL417,AL417,RMF,4197,ZRH,1678,,0,319
122,AL417,AL417,TFS,1056,GVA,1665,,0,319
123,AL417,AL417,ZRH,1678,BDS,1506,,0,100
124,AL417,AL417,ZRH,1678,BOD,1264,,0,100
125,AL417,AL417,ZRH,1678,BRS,490,,0,100
126,AL417,AL417,ZRH,1678,LCA,1197,,0,319
127,AL417,AL417,ZRH,1678,LPA,1054,,0,319
128,AL417,AL417,ZRH,1678,RMF,4197,,0,319
129,AL247,AL247,AJR,730,LYC,719,,0,ATP
130,AL247,AL247,ARN,737,GEV,715,,0,ATP
131,AL247,AL247,ARN,737,HAD,709,,0,SF3
132,AL247,AL247,ARN,737,JKG,688,,0,ATP SF3
133,AL247,AL247,ARN,737,KRF,718,,0,ATP
134,AL247,AL247,ARN,737,KSD,5595,,0,SF3
135,AL247,AL247,ARN,737,LYC,719,,0,ATP
136,AL247,AL247,ARN,737,MHQ,442,,0,SF3
137,AL247,AL247,ARN,737,OER,722,,0,ATR
138,AL247,AL247,ARN,737,POR,448,,0,SF3
139,AL247,AL247,ARN,737,TRF,664,,0,SF3
140,AL247,AL247,ARN,737,VBY,746,,0,SF3 ATP
141,AL247,AL247,ARN,737,VHM,729,,0,SF3
142,AL247,AL247,ARN,737,VXO,711,,0,SF3
143,AL247,AL247,GEV,715,ARN,737,,0,ATP
144,AL247,AL247,GEV,715,KRF,718,,0,ATP
145,AL247,AL247,HAD,709,ARN,737,,0,SF3 ATP
146,AL247,AL247,HAD,709,JKG,688,,0,ATP SF3
147,AL247,AL247,HAD,709,VXO,711,,0,SF3
148,AL247,AL247,HMV,5599,VHM,729,,0,SF3
149,AL247,AL247,JKG,688,ARN,737,,0,ATP SF3
150,AL247,AL247,JKG,688,HAD,709,,0,ATP SF3
151,AL247,AL247,KOK,435,POR,448,,0,SF3
152,AL247,AL247,KRF,718,ARN,737,,0,ATP
153,AL247,AL247,KRF,718,GEV,715,,0,ATP
154,AL247,AL247,KSD,5595,ARN,737,,0,SF3
155,AL247,AL247,LYC,719,AJR,730,,0,ATP
156,AL247,AL247,LYC,719,ARN,737,,0,ATP
157,AL247,AL247,MHQ,442,ARN,737,,0,SF3
158,AL247,AL247,MHQ,442,TKU,460,,0,SF3
159,AL247,AL247,OER,722,ARN,737,,0,ATR
160,AL247,AL247,OSL,644,VXO,711,,0,SF3
161,AL247,AL247,POR,448,ARN,737,,0,SF3
162,AL247,AL247,POR,448,KOK,435,,0,SF3
163,AL247,AL247,TKU,460,MHQ,442,,0,SF3
164,AL247,AL247,TRF,664,ARN,737,,0,SF3
165,AL247,AL247,VBY,746,ARN,737,,0,SF3 ATP
166,AL247,AL247,VHM,729,ARN,737,,0,SF3
167,AL247,AL247,VHM,729,HMV,5599,,0,SF3
168,AL247,AL247,VXO,711,ARN,737,,0,SF3
169,AL247,AL247,VXO,711,OSL,644,,0,SF3
170,AL450,AL450,ADQ,3531,AOS,7167,,0,BNI
171,AL450,AL450,ADQ,3531,KKB,7168,,0,BNI
172,AL450,AL450,ADQ,3531,KLN,7162,,0,BNI
173,AL450,AL450,ADQ,3531,KOZ,7164,,0,BNI
174,AL450,AL450,ADQ,3531,OLH,7163,,0,BNI
175,AL450,AL450,AOS,7167,KZB,7176,,0,BNI
176,AL450,AL450,KKB,7168,SYB,7173,,0,BNI
177,AL450,AL450,KLN,7162,KYK,7161,,0,BNI
178,AL450,AL450,KOZ,7164,ORI,7165,,0,BNI
179,AL450,AL450,SYB,7173,KPR,7172,,0,BNI
180,AL278,AL278,BSO,6019,MNL,2397,,0,DH4
181,AL278,AL278,BXU,4200,MNL,2397,,0,320
182,AL278,AL278,CBO,2399,MNL,2397,,0,320
183,AL278,AL278,CGY,2400,MNL,2397,,0,320
184,AL278,AL278,CRM,6024,MNL,2397,,0,DH4
185,AL278,AL278,DGT,2425,MNL,2397,,0,320
186,AL278,AL278,DWC,8076,MNL,2397,,0,330
187,AL278,AL278,GES,2402,MNL,2397,Y,0,320
188,AL278,AL278,KLO,2430,MNL,2397,,0,320
189,AL278,AL278,LGP,4203,MNL,2397,,0,320
190,AL278,AL278,MNL,2397,BSO,6019,,0,DH4
191,AL278,AL278,MNL,2397,BXU,4200,,0,320
192,AL278,AL278,MNL,2397,CBO,2399,,0,320
193,AL278,AL278,MNL,2397,CGY,2400,,0,320
194,AL278,AL278,MNL,2397,CRM,6024,,0,DH4
195,AL278,AL278,MNL,2397,DGT,2425,,0,320
196,AL278,AL278,MNL,2397,DWC,8076,,0,330
197,AL278,AL278,MNL,2397,GES,2402,Y,0,320
198,AL278,AL278,MNL,2397,KLO,2430,,0,320
199,AL278,AL278,MNL,2397,LGP,4203,,0,320
200,AL278,AL278,MNL,2397,MPH,2426,,0,DH3
201,AL278,AL278,MNL,2397,OZC,4204,,0,320
202,AL278,AL278,MNL,2397,PPS,2433,,0,320
203,AL278,AL278,MNL,2397,RXS,6026,,0,320
204,AL278,AL278,MNL,2397,SUG,6016,,0,DH4
205,AL278,AL278,MNL,2397,TUG,6021,,0,DH4
206,AL278,AL278,MNL,2397,ZAM,2404,,0,320
207,AL278,AL278,MPH,2426,MNL,2397,,0,DH3
208,AL278,AL278,OZC,4204,MNL,2397,,0,320
209,AL278,AL278,PPS,2433,MNL,2397,,0,320
210,AL278,AL278,RXS,6026,MNL,2397,,0,320
211,AL278,AL278,SUG,6016,MNL,2397,,0,DH4
212,AL278,AL278,TUG,6021,MNL,2397,,0,DH4
213,AL278,AL278,ZAM,2404,MNL,2397,,0,320
214,AL235,AL235,AUX,7376,PMW,4214,,0,AT7
215,AL235,AL235,BRA,7373,BSB,2531,,0,AT7
216,AL235,AL235,BRA,7373,SSA,2621,,0,AT7
217,AL235,AL235,BSB,2531,BRA,7373,,0,AT7
218,AL235,AL235,BSB,2531,OPS,7367,,0,AT7
219,AL235,AL235,BSB,2531,RAO,2613,,0,AT7
220,AL235,AL235,CAC,2535,GRU,2564,,0,AT7
221,AL235,AL235,CGB,2548,GYN,2562,,0,AT7
222,AL235,AL235,CGB,2548,OPS,7367,,0,AT7
223,AL235,AL235,CGR,2538,DOU,7380,,0,AT7
224,AL235,AL235,DOU,7380,CGR,2538,,0,AT7
225,AL235,AL235,DOU,7380,GRU,2564,,0,AT7
226,AL235,AL235,GIG,2560,RAO,2613,,0,AT7
227,AL235,AL235,GRU,2564,CAC,2535,,0,AT7
228,AL235,AL235,GRU,2564,DOU,7380,,0,AT7
229,AL235,AL235,GRU,2564,RAO,2613,,0,AT7
230,AL235,AL235,GRU,2564,UBA,2635,,0,AT7
231,AL235,AL235,GRU,2564,UDI,2633,,0,AT7
232,AL235,AL235,GRU,2564,VDC,6039,,0,AT7
233,AL235,AL235,GYN,2562,CGB,2548,,0,AT7
234,AL235,AL235,GYN,2562,PMW,4214,,0,AT7
235,AL235,AL235,GYN,2562,RAO,2613,,0,AT7
236,AL235,AL235,GYN,2562,UDI,2633,,0,AT7
237,AL235,AL235,OPS,7367,BSB,2531,,0,AT7
238,AL235,AL235,OPS,7367,CGB,2548,,0,AT7
239,AL235,AL235,PLU,2528,RAO,2613,,0,AT7
240,AL235,AL235,PMW,4214,AUX,7376,,0,AT7
241,AL235,AL235,PMW,4214,GYN,2562,,0,AT7
242,AL235,AL235,RAO,2613,BSB,2531,,0,AT7
243,AL235,AL235,RAO,2613,GIG,2560,,0,AT7
244,AL235,AL235,RAO,2613,GRU,2564,,0,AT7
245,AL235,AL235,RAO,2613,GYN,2562,,0,AT7
246,AL235,AL235,RAO,2613,PLU,2528,,0,AT7
247,AL235,AL235,RAO,2613,SJP,2619,,0,AT7
248,AL235,AL235,RAO,2613,UDI,2633,,0,AT7
249,AL235,AL235,SJP,2619,RAO,2613,,0,AT7
250,AL235,AL235,SSA,2621,BRA,7373,,0,AT7
251,AL235,AL235,SSA,2621,VDC,6039,,0,AT7
252,AL235,AL235,UBA,2635,GRU,2564,,0,AT7
253,AL235,AL235,UBA,2635,UDI,2633,,0,AT7
254,AL235,AL235,UDI,2633,GRU,2564,,0,AT7
255,AL235,AL235,UDI,2633,GYN,2562,,0,AT7
256,AL235,AL235,UDI,2633,RAO,2613,,0,AT7
257,AL235,AL235,UDI,2633,UBA,2635,,0,AT7
258,AL235,AL235,VDC,6039,GRU,2564,,0,AT7
259,AL235,AL235,VDC,6039,SSA,2621,,0,AT7
260,AL459,AL459,BRL,5726,ORD,3830,,0,CNC
261,AL459,AL459,BRL,5726,STL,3678,,0,CNC
262,AL459,AL459,DEC,4042,ORD,3830,,0,CNC
263,AL459,AL459,DEC,4042,STL,3678,,0,CNC
264,AL459,AL459,JBR,3591,STL,3678,,0,CNC
265,AL459,AL459,ORD,3830,BRL,5726,,0,CNC
266,AL459,AL459,ORD,3830,DEC,4042,,0,CNC
267,AL459,AL459,STL,3678,BRL,5726,,0,CNC
268,AL459,AL459,STL,3678,DEC,4042,,0,CNC
269,AL459,AL459,STL,3678,JBR,3591,,0,CNC
270,AL446,AL446,CGA,7144,HYL,7145,,0,DHP
271,AL446,AL446,CGA,7144,KTN,3808,,0,DHP
272,AL446,AL446,HYL,7145,CGA,7144,,0,DHP
273,AL446,AL446,HYL,7145,KTB,7147,,0,DHP
274,AL446,AL446,HYL,7145,KTN,3808,,0,DHP
275,AL446,AL446,KTB,7147,HYL,7145,,0,DHP
276,AL446,AL446,KTB,7147,KTN,3808,,0,DHP
277,AL446,AL446,KTN,3808,CGA,7144,,0,DHP
278,AL446,AL446,KTN,3808,HYL,7145,,0,DHP
279,AL446,AL446,KTN,3808,KTB,7147,,0,DHP
280,AL446,AL446,KTN,3808,MTM,7146,,0,DHP
281,AL446,AL446,MTM,7146,KTN,3808,,0,DHP
282,AL305,AL305,ACC,248,DKR,1084,,0,319
283,AL305,AL305,ACC,248,LOS,273,,0,319
284,AL305,AL305,ACC,248,ROB,1063,,0,319
285,AL305,AL305,BCN,1218,BJL,1050,,0,319
286,AL305,AL305,BJL,1050,BCN,1218,,0,319
287,AL305,AL305,BJL,1050,DKR,1084,,0,319
288,AL305,AL305,BJL,1050,FNA,1059,,0,319
289,AL305,AL305,CKY,4162,OXB,5665,,0,319
290,AL305,AL305,DKR,1084,ACC,248,,0,319
291,AL305,AL305,DKR,1084,BJL,1050,,0,319
292,AL305,AL305,DKR,1084,DLA,897,,0,319
293,AL305,AL305,DKR,1084,FNA,1059,,0,319
294,AL305,AL305,DKR,1084,LOS,273,,0,319
295,AL305,AL305,DKR,1084,OXB,5665,,0,319
296,AL305,AL305,DLA,897,DKR,1084,,0,319
297,AL305,AL305,DLA,897,LOS,273,,0,319
298,AL305,AL305,FNA,1059,BJL,1050,,0,319
299,AL305,AL305,FNA,1059,DKR,1084,,0,319
300,AL305,AL305,FNA,1059,LGW,502,,0,319
301,AL305,AL305,FNA,1059,ROB,1063,,0,319
302,AL305,AL305,LGW,502,FNA,1059,,0,319
303,AL305,AL305,LOS,273,ACC,248,,0,319
304,AL305,AL305,LOS,273,DKR,1084,,0,319
305,AL305,AL305,LOS,273,DLA,897,,0,319
306,AL305,AL305,LOS,273,ROB,1063,,0,319
307,AL305,AL305,OXB,5665,CKY,4162,,0,319
308,AL305,AL305,OXB,5665,DKR,1084,,0,319
309,AL305,AL305,ROB,1063,ACC,248,,0,319
310,AL305,AL305,ROB,1063,FNA,1059,,0,319
311,AL305,AL305,ROB,1063,LOS,273,,0,319
312,AL197,AL197,AKV,5506,YIK,5504,,0,DH8
313,AL197,AL197,AKV,5506,YPX,6727,,0,DH8
314,AL197,AL197,XGR,5512,YVP,154,,0,DHT BET
315,AL197,AL197,YGL,62,YGW,5496,,0,DHT
316,AL197,AL197,YGL,62,YPX,6727,,0,73M
317,AL197,AL197,YGL,62,YUL,146,,0,73M
318,AL197,AL197,YGW,5496,YGL,62,,0,DHT
319,AL197,AL197,YGW,5496,YPH,5520,,0,BET
320,AL197,AL197,YGW,5496,YSK,5529,,0,DH8
321,AL197,AL197,YGW,5496,YUD,5515,,0,DH8
322,AL197,AL197,YGW,5496,YUL,146,,0,DH8
323,AL197,AL197,YGW,5496,YUY,149,,0,DH8
324,AL197,AL197,YIK,5504,AKV,5506,,0,DH8
325,AL197,AL197,YIK,5504,YZG,5535,,0,DH8
326,AL197,AL197,YKG,5481,YPJ,5508,,0,DHT DH8
327,AL197,AL197,YKG,5481,YQC,5499,,0,DH8
328,AL197,AL197,YKG,5481,YVP,154,,0,DH8 DHT
329,AL197,AL197,YKL,80,YQB,111,,0,DH8
330,AL197,AL197,YKL,80,YVP,154,,0,DH8 BET
331,AL197,AL197,YKL,80,YWK,161,,0,BET
332,AL197,AL197,YKL,80,YZV,202,,0,BET DH8
333,AL197,AL197,YPH,5520,YPX,6727,,0,DH8 BET
334,AL197,AL197,YPH,5520,YUD,5515,,0,DH8
335,AL197,AL197,YPH,5520,YVP,154,,0,BET
336,AL197,AL197,YPJ,5508,YKG,5481,,0,DHT DH8
337,AL197,AL197,YPJ,5508,YTQ,6728,,0,DHT DH8
338,AL197,AL197,YPJ,5508,YVP,154,,0,DHT
339,AL197,AL197,YPX,6727,AKV,5506,,0,DH8
340,AL197,AL197,YPX,6727,YGL,62,,0,73M
341,AL197,AL197,YPX,6727,YPH,5520,,0,DH8
342,AL197,AL197,YPX,6727,YVP,154,,0,BET
343,AL197,AL197,YQB,111,YKL,80,,0,DH8
344,AL197,AL197,YQB,111,YUL,146,,0,DH8
345,AL197,AL197,YQC,5499,YKG,5481,,0,DH8
346,AL197,AL197,YQC,5499,YWB,7253,,0,DH8
347,AL197,AL197,YSK,5529,YGW,5496,,0,DH8
348,AL197,AL197,YSK,5529,YUD,5515,,0,DH8
349,AL197,AL197,YTQ,6728,YPJ,5508,,0,DHT DH8
350,AL197,AL197,YTQ,6728,YVP,154,,0,DHT DH8
351,AL197,AL197,YUD,5515,YGW,5496,,0,DH8
352,AL197,AL197,YUD,5515,YPH,5520,,0,DH8
353,AL197,AL197,YUD,5515,YSK,5529,,0,DH8
354,AL197,AL197,YUL,146,YGL,62,,0,73M
355,AL197,AL197,YUL,146,YGW,5496,,0,DH8
356,AL197,AL197,YUL,146,YQB,111,,0,DH8
357,AL197,AL197,YUL,146,YUY,149,,0,DH8
358,AL197,AL197,YUY,149,YGW,5496,,0,DH8
359,AL197,AL197,YUY,149,YUL,146,,0,DH8
360,AL197,AL197,YVP,154,XGR,5512,,0,DHT BET
361,AL197,AL197,YVP,154,YGW,5496,,0,BET
362,AL197,AL197,YVP,154,YKG,5481,,0,DH8
363,AL197,AL197,YVP,154,YKL,80,,0,DH8 BET
364,AL197,AL197,YVP,154,YPH,5520,,0,BET
365,AL197,AL197,YVP,154,YPJ,5508,,0,DHT
366,AL197,AL197,YVP,154,YPX,6727,,0,BET
367,AL197,AL197,YVP,154,YTQ,6728,,0,DHT DH8
368,AL197,AL197,YWB,7253,YQC,5499,,0,DH8
369,AL197,AL197,YWB,7253,YZG,5535,,0,DH8
370,AL197,AL197,YWK,161,YKL,80,,0,BET
371,AL197,AL197,YWK,161,YZV,202,,0,BET
372,AL197,AL197,YZG,5535,YIK,5504,,0,DH8
373,AL197,AL197,YZG,5535,YWB,7253,,0,DH8
374,AL197,AL197,YZV,202,YKL,80,,0,BET DH8
375,AL197,AL197,YZV,202,YWK,161,,0,BET
376,AL520,AL520,JIB,4119,DXB,2188,,0,737
377,AL520,AL520,JIB,4119,JED,2072,,0,737
378,AL520,AL520,JIB,4119,MGQ,5687,,0,737
379,AL520,AL520,MGQ,5687,NBO,4059,,0,737
380,AL520,AL520,NBO,4059,MGQ,5687,,0,737
381,AL269,AL269,BKK,3885,SIN,3316,,0,320
382,AL269,AL269,DRW,3999,SIN,3316,,0,320
383,AL269,AL269,HAK,4120,SIN,3316,,0,320
384,AL269,AL269,HGH,3386,SIN,3316,,0,320
385,AL269,AL269,HKG,3077,SIN,3316,,0,320
386,AL269,AL269,HKT,3179,SIN,3316,,0,320
387,AL269,AL269,KIX,3992,MNL,2397,,0,320
388,AL269,AL269,KIX,3992,TPE,2276,,0,320
389,AL269,AL269,KUL,3304,SIN,3316,,0,320
390,AL269,AL269,MNL,2397,KIX,3992,,0,320
391,AL269,AL269,MNL,2397,SIN,3316,,0,320
392,AL269,AL269,PEN,3308,SIN,3316,,0,320
393,AL269,AL269,PER,3351,SIN,3316,,0,320
394,AL269,AL269,PNH,3034,SIN,3316,,0,320
395,AL269,AL269,REP,3035,SIN,3316,,0,320
396,AL269,AL269,RGN,3239,SIN,3316,,0,320
397,AL269,AL269,SGN,3205,SIN,3316,,0,320
398,AL269,AL269,SIN,3316,BKK,3885,,0,320
399,AL269,AL269,SIN,3316,DRW,3999,,0,320
400,AL269,AL269,SIN,3316,HAK,4120,,0,320
401,AL269,AL269,SIN,3316,HGH,3386,,0,320
402,AL269,AL269,SIN,3316,HKG,3077,,0,320
403,AL269,AL269,SIN,3316,HKT,3179,,0,320
404,AL269,AL269,SIN,3316,KUL,3304,,0,320
405,AL269,AL269,SIN,3316,MNL,2397,,0,320
406,AL269,AL269,SIN,3316,PEN,3308,,0,320
407,AL269,AL269,SIN,3316,PER,3351,,0,320
408,AL269,AL269,SIN,3316,PNH,3034,,0,320
409,AL269,AL269,SIN,3316,REP,3035,,0,320
410,AL269,AL269,SIN,3316,RGN,3239,,0,320
411,AL269,AL269,SIN,3316,SGN,3205,,0,320
412,AL269,AL269,SIN,3316,SWA,4302,,0,320
413,AL269,AL269,SIN,3316,TPE,2276,,0,320
414,AL269,AL269,SWA,4302,SIN,3316,,0,320
415,AL269,AL269,TPE,2276,KIX,3992,,0,320
416,AL269,AL269,TPE,2276,SIN,3316,,0,320
417,AL326,AL326,ACH,1679,EBA,1558,,0,DH3
418,AL326,AL326,DRS,338,ZRH,1678,,0,DH3
419,AL326,AL326,DUS,345,FDH,382,,0,DH3
420,AL326,AL326,EBA,1558,ACH,1679,,0,DH3
421,AL326,AL326,EBA,1558,FDH,382,,0,DH3
422,AL326,AL326,EBA,1558,MUC,346,,0,DH3
423,AL326,AL326,EBA,1558,ZRH,1678,,0,DH3
424,AL326,AL326,FDH,382,DUS,345,,0,DH3
425,AL326,AL326,FDH,382,EBA,1558,,0,DH3
426,AL326,AL326,FDH,382,HAM,342,,0,AT7
427,AL326,AL326,FDH,382,OLB,1520,,0,AT7
428,AL326,AL326,FDH,382,TXL,351,,0,AT7
429,AL326,AL326,FDH,382,ZAD,1209,,0,AT7
430,AL326,AL326,FMM,3986,NAP,1561,,0,AT7
431,AL326,AL326,GRZ,1609,ZRH,1678,,0,DH3
432,AL326,AL326,HAM,342,FDH,382,,0,AT7
433,AL326,AL326,MUC,346,EBA,1558,,0,DH3
434,AL326,AL326,NAP,1561,FMM,3986,,0,AT7
435,AL326,AL326,OLB,1520,FDH,382,,0,AT7
436,AL326,AL326,SZG,1612,ZRH,1678,,0,DH3
437,AL326,AL326,TXL,351,FDH,382,,0,AT7
438,AL326,AL326,ZAD,1209,FDH,382,,0,AT7
439,AL326,AL326,ZRH,1678,DRS,338,,0,DH3
440,AL326,AL326,ZRH,1678,EBA,1558,,0,DH3
441,AL326,AL326,ZRH,1678,GRZ,1609,,0,DH3
442,AL326,AL326,ZRH,1678,SZG,1612,,0,DH3
443,AL189,AL189,ATL,3682,LWB,6958,,0,SF3
444,AL189,AL189,ATL,3682,MCN,3754,,0,SF3
445,AL189,AL189,ATL,3682,MEI,4335,,0,SF3
446,AL189,AL189,ATL,3682,MSL,5756,,0,SF3
447,AL189,AL189,ATL,3682,PIB,5759,,0,SF3
448,AL189,AL189,ATL,3682,TUP,5773,,0,SF3
449,AL189,AL189,BIM,1937,FLL,3533,,0,SF3
450,AL189,AL189,ELH,1943,FLL,3533,,0,SF3
451,AL189,AL189,ELH,1943,PBI,3722,,0,SF3
452,AL189,AL189,EYW,3875,FLL,3533,,0,SF3
453,AL189,AL189,EYW,3875,RSW,3793,,0,SF3
454,AL189,AL189,EYW,3875,TPA,3646,,0,SF3
455,AL189,AL189,FLL,3533,BIM,1937,,0,SF3
456,AL189,AL189,FLL,3533,ELH,1943,,0,SF3
457,AL189,AL189,FLL,3533,EYW,3875,,0,SF3
458,AL189,AL189,FLL,3533,FPO,1948,,0,SF3
459,AL189,AL189,FLL,3533,GGT,1941,,0,SF3
460,AL189,AL189,FLL,3533,GHB,1944,,0,SF3
461,AL189,AL189,FLL,3533,MCO,3878,,0,SF3
462,AL189,AL189,FLL,3533,MHH,1930,,0,SF3
463,AL189,AL189,FLL,3533,TCB,1934,,0,SF3
464,AL189,AL189,FLL,3533,TPA,3646,,0,SF3
465,AL189,AL189,FPO,1948,FLL,3533,,0,SF3
